text,category,date,link
"What If We Were All Family Generation Changers?. What if, in doing so, we won't just create new opportunities for ourselves, we'll also uncover ways to create new opportunities for our families that may not have otherwise existed? [Category: IMPACT, Date: 2014-06-20]",IMPACT,2014-06-20,https://www.huffingtonpost.com/entry/what-if-we-were-all-famil_b_5510958.html
"Firestorm At AOL Over Employee Benefit Cuts. It should have been a glorious week for AOL chief executive Tim Armstrong. His company’s quarterly earnings, announced Thursday [Category: BUSINESS, Date: 2014-02-08]",BUSINESS,2014-02-08,https://www.huffingtonpost.comhttp://www.washingtonpost.com/business/economy/aol-chief-ignites-firestorm-over-401k-cuts-and-distressed-babies-remark/2014/02/07/2116c03a-9012-11e3-b227-12a45d109e03_story.html
"Dakota Access Protesters Arrested As Deadline Passes To Depart Camp. A few protesters who refused to leave remained at the site Thursday. [Category: POLITICS, Date: 2017-02-22]",POLITICS,2017-02-22,https://www.huffingtonpost.com/entry/time-runs-out-at-main-dakota-access-pipeline-protest-camp_us_58acc6a9e4b04a0b274df548
"One Glimpse Of These Baby Kit Foxes And You'll Be Hooked.  [Category: GREEN, Date: 2014-05-14]",GREEN,2014-05-14,https://www.huffingtonpost.com/entry/one-glimpse-of-these-baby_n_5319015.html
"Mens' Sweat Pheromone, Androstadienone, Influences Cooperation In Other Men. Scientists didn't know if humans played that game as well. But in the last 30 years, they've identified both male and female [Category: SCIENCE, Date: 2013-06-02]",SCIENCE,2013-06-02,https://www.huffingtonpost.com/entry/mens-sweat-pheromone-cooperation_us_5baeb6f0e4b014374e2e5ae6
"Summer Sleepover Tips. Here are five ways to get some beauty sleep while hosting a sleepover for your child. [Category: PARENTING, Date: 2012-07-25]",PARENTING,2012-07-25,https://www.huffingtonpost.com/entry/sleepover_us_5b9c0b18e4b03a1dcc7bf30b
"End of the Year. For a moment, let yourself wonder -- and let your mind wander -- about what you've been a part of this year. All of these things, and more, are things that could offer you an opportunity to improve your performance. [Category: WELLNESS, Date: 2012-11-04]",WELLNESS,2012-11-04,https://www.huffingtonpost.com/entry/making-goals_us_5b9c788ee4b03a1dcc7ef3c9
"Maybe Colleges Should Take A Lesson From Zoos. By Michael Preston, UCF Forum columnist What would it take to create a more learning-efficient campus? What elements must [Category: SCIENCE, Date: 2017-05-10]",SCIENCE,2017-05-10,https://www.huffingtonpost.com/entry/maybe-colleges-should-take-a-lesson-from-zoos_us_591325eee4b0e070cad70a9b
"Supermodel Stephanie Seymour Does Sexy Photo Shoot...With Her Sons (PHOTO). In particular, Seymour remembers the way the boys used to dress her up. ""When they were little, they would lay out outfits [Category: STYLE & BEAUTY, Date: 2014-02-10]",STYLE & BEAUTY,2014-02-10,https://www.huffingtonpost.com/entry/stephanie-seymour-photo-sons_us_5b9ddb44e4b03a1dcc8dc9ec
"American Attitudes About Guns Have Become Much More Positive, But Why?. When I was a kid growing up in Washington, D.C. during the 1950s, my two favorite places to visit were the NRA Museum and [Category: POLITICS, Date: 2017-07-27]",POLITICS,2017-07-27,https://www.huffingtonpost.com/entry/american-attitudes-about-guns-have-become-much-more-positive-but-why_us_597a1afae4b02a8434b4cb25
"Carl Bernstein: No Way Is Clinton Email Investigation 'Bigger Than Watergate'. He said this news is in a ""different league."" [Category: POLITICS, Date: 2016-10-29]",POLITICS,2016-10-29,https://www.huffingtonpost.com/entry/carl-bernstein-clinton-emails_us_5814eeace4b0990edc31a2be
"NC Official Changes Stance On Pepper Spray In Trans-Friendly School Bathrooms (UPDATE). ""Perverts and pedophiles taking advantage of this law in bathrooms was my major concern,"" Chuck Hughes said. [Category: QUEER VOICES, Date: 2016-05-11]",QUEER VOICES,2016-05-11,https://www.huffingtonpost.com/entry/nc-school-official-wants-kids-to-carry-pepper-spray-in-trans-friendly-bathrooms_us_573259a1e4b016f378977bc0
"6 Tips That Could Help Your Student Loan Repayment. Finding ways to help save on your student loan repayment can save a lot of time and stress when managing your student loans. Take the time to clarify these commonly misunderstood repayment strategies. [Category: EDUCATION, Date: 2015-07-04]",EDUCATION,2015-07-04,https://www.huffingtonpost.com/entry/6-tips-that-could-help-yo_b_7725742.html
"North Korea's Racial Slur of President Obama Is Business as Usual. It's hardly the first time that some official or official source in North Korea has gotten caught with its racial dirty linen waving. The verbal war is the outcrop of the deep suspicion, distrust, antagonism, and confrontation that's characterized relations between the U.S. and North Korea for decades. [Category: BLACK VOICES, Date: 2014-12-28]",BLACK VOICES,2014-12-28,https://www.huffingtonpost.com/entry/north-koreas-slur-of-pres_b_6386960.html
"If This Isn't The Most Charming Way To Travel, We Don't Know What Is.  [Category: TRAVEL, Date: 2014-09-21]",TRAVEL,2014-09-21,https://www.huffingtonpost.com/entry/rachel-ryle-instagramming-the-world_n_5836508.html
"Why Women Stay in Bad Marriages. Few people ""want"" to get divorced. It can be incredibly difficult and painful. As a result, an extraordinary amount of women remain in marriages that are unhealthy and even border on dysfunctional. [Category: DIVORCE, Date: 2013-10-14]",DIVORCE,2013-10-14,https://www.huffingtonpost.com/entry/why-women-stay-in-bad-mar_us_5b9d9799e4b03a1dcc89e7ed
"As France Prepares for Marriage Equality, Opponents Warn of Civil Strife. The French people strongly endorse same-sex marriage, and support for the right of married gay and lesbian couples to adopt children sits just shy of 50 percent. But the push for equality in France has an ugly underbelly. [Category: QUEER VOICES, Date: 2013-04-14]",QUEER VOICES,2013-04-14,https://www.huffingtonpost.com/entry/grance-gay-marriage_us_5bafb43de4b0ad769260647b
"What You Need To Know About Happiness And Depression. Thanks to the research of Rottenberg and others, however, we are beginning to discover that many of our previous assumptions about depression are dead wrong. Here's what we're learning. [Category: HEALTHY LIVING, Date: 2015-02-07]",HEALTHY LIVING,2015-02-07,https://www.huffingtonpost.com/entry/happiness-depression_b_6609116.html
"Biden, Putin To Hold Call Over Stepped Up Security Demands. President Joe Biden and Vladimir Putin will speak Thursday as the Russian leader has stepped up his demands for security guarantees in Eastern Europe. [Category: POLITICS, Date: 2021-12-29]",POLITICS,2021-12-29,https://www.huffpost.com/entry/bc-us-biden-putin-call_n_61cc9fcce4b04b42ab70dffd
"Is The Anna Dello Russo For H&M Hat Practical For Everyday Wear? (VIDEO, POLL). It takes a special kind of girl to sport a stuffed bird hat. [Category: STYLE & BEAUTY, Date: 2012-10-22]",STYLE & BEAUTY,2012-10-22,https://www.huffingtonpost.com/entry/anna-dello-russo-hm-hat-video_us_5b9c6b7de4b03a1dcc7e8152
"The Egg Gadgets That Will Make Your Mornings Easier. We all deserve a little ease with our breakfast. [Category: TASTE, Date: 2016-09-30]",TASTE,2016-09-30,https://www.huffingtonpost.com/entry/egg-cooking-gadgets_us_57ed2c11e4b024a52d2d3139
"Watchdogs Fear Sequester's Bite: 'We Can't Do The Things We're Here To Do'. The federal government's Wall Street watchdogs will feel the pinch of sequestration if Washington lawmakers cannot strike [Category: BUSINESS, Date: 2013-02-23]",BUSINESS,2013-02-23,https://www.huffingtonpost.comhttp://thehill.com/blogs/on-the-money/banking-financial-institutions/284461-wall-street-watchdogs-will-feel-sequesters-bite-
"18 Injured When Hong Kong Escalator Suddenly Reverses At High Speed. Two mechanics have been arrested in connection with the incident. [Category: THE WORLDPOST, Date: 2017-03-27]",THE WORLDPOST,2017-03-27,https://www.huffingtonpost.com/entry/hong-kong-escalator-reversing_us_58d90d28e4b03692bea7ab96
"Trump To Get Outside Help For Potential GOP Convention Battle. Donald Trump has a Plan B if he's faced with a contested convention, and it involves the sort of outside groups that he's [Category: POLITICS, Date: 2016-05-01]",POLITICS,2016-05-01,https://www.huffingtonpost.comhttp://abcnews.go.com/Politics/wireStory/trump-potential-gop-convention-battle-38796105
"Blended Family Friday: Meet Anessa And Keith's Family. As part of our Blended Family Friday series, each week we're spotlighting a different stepfamily to learn how they successfully [Category: DIVORCE, Date: 2013-05-03]",DIVORCE,2013-05-03,https://www.huffingtonpost.com/entry/blended-family-friday_us_5b9d2005e4b03a1dcc84accd
"Meet The New President Of The Berggruen Institute. Sociologist Craig Calhoun discusses getting into trouble as a kid, talking to strangers and what it means to be American. [Category: THE WORLDPOST, Date: 2016-04-29]",THE WORLDPOST,2016-04-29,https://www.huffingtonpost.comhttp://www.zocalopublicsquare.org/2016/04/28/meet-the-new-president-of-l-a-s-berggruen-institute/personalities/in-the-green-room/
"Kardashian Kurves Contest Launches Sisters' Plus-Size Denim Line. See Kim's kurvy style through the years: Finally, a Kardashian venture we're (somewhat) excited about. So what does it take [Category: STYLE & BEAUTY, Date: 2012-07-27]",STYLE & BEAUTY,2012-07-27,https://www.huffingtonpost.com/entry/kardashian-kurves-contest-plus-size_us_5b9c0d85e4b03a1dcc7c06fe
"This Episode Of 'SNL' Will Have EVERYTHING.  [Category: COMEDY, Date: 2014-09-17]",COMEDY,2014-09-17,https://www.huffingtonpost.com/entry/bill-hader-hosting-snl-saturday-night-live_n_5836756.html
"Obama Administration Offers Desperately Needed Help For People Addicted To Opioids. HHS lays out its plan to raise the patient cap for doctors prescribing addiction medication. [Category: POLITICS, Date: 2016-03-29]",POLITICS,2016-03-29,https://www.huffingtonpost.com/entry/opioid-addiction-patient-limits-suboxone_us_56f9aa0be4b0143a9b491020
"Talking While Making Left Turns Is Distracting, Study Finds. According to government statistics on distracted driving, cell phones are behind 18 percent of U.S. distraction-related deaths [Category: WELLNESS, Date: 2013-02-28]",WELLNESS,2013-02-28,https://www.huffingtonpost.com/entry/left-turns-talking-distracting-distracted-driving_us_5b9cde08e4b03a1dcc82904f
"The Wildest Celeb Halloween Costumes. From Heidi Klum's legendary costumes for her annual fete to Roberto Cavalli done up as Karl Lagerfeld, here's proof that big personalities, big costume budgets, and big Halloween parties yield some truly amazing, and amazingly bizarre results. [Category: STYLE & BEAUTY, Date: 2013-10-08]",STYLE & BEAUTY,2013-10-08,https://www.huffingtonpost.com/entry/celeb-halloween-costumes_us_5b9d9406e4b03a1dcc89bf0c
"World Leaders Join Crowd Of Over A Million For National Unity March In Paris.  [Category: WORLDPOST, Date: 2015-01-11]",WORLDPOST,2015-01-11,https://www.huffingtonpost.com/entry/charlie-hebdo-rally_n_6451286.html
"As Long as There Is (American) Sitcom. No matter how TV has changed and will change again over the years, if there is a genre that has no need to reinvent itself, that genre is comedy. The only thing that a good comedy really needs is a small, cozy room full of great and enthusiast writers. [Category: ENTERTAINMENT, Date: 2015-04-19]",ENTERTAINMENT,2015-04-19,https://www.huffingtonpost.com/entry/as-long-as-there-is-american-sitcom_b_7092566.html
"Toxic Gas Dropped On Syrian Town Where Russian Helicopter Shot Down, Rescuers Say. A spokesman for Syria Civil Defence said 33 people, mostly women and children, were affected by the gas in Saraqeb. [Category: THE WORLDPOST, Date: 2016-08-02]",THE WORLDPOST,2016-08-02,https://www.huffingtonpost.com/entry/syria-toxic-gas-attack_us_57a06263e4b0e2e15eb70bd7
"How Raising An Introvert Made Me A Better Educator. This article first appeared on QuietRev.com Heidi Kasevich is Quiet Revolution’s Director of Quiet Education, leading the [Category: HEALTHY LIVING, Date: 2016-04-14]",HEALTHY LIVING,2016-04-14,https://www.huffingtonpost.com/entry/how-raising-an-introvert-made-me-a-better-educator_us_56d8760ce4b0000de4039b9d
"Prince George Doll Is Almost Too Lifelike... (PHOTOS). However, if porcelain dolls are really your thing, you can get your own delicate Georgie for just $149.99. Will you buy one [Category: STYLE & BEAUTY, Date: 2013-12-13]",STYLE & BEAUTY,2013-12-13,https://www.huffingtonpost.com/entry/prince-george-doll_us_5b9db76be4b03a1dcc8bec08
"Pfizer, Allergan Scrap $160 Billion Merger Over Tax Loophole Pressure. The announcement followed the unveiling of new U.S. Treasury rules on Monday aimed at curbing such deals. [Category: BUSINESS, Date: 2016-04-06]",BUSINESS,2016-04-06,https://www.huffingtonpost.com/entry/pfizer-allergan-scrap-160-billion-merger_us_5704edede4b0537661882620
"Activist Hopes Public Suicide Leads To More Awareness. ANCHORAGE, Alaska (AP) — An Alaska suicide-prevention activist is hoping a man's very public suicide at an Alaska Native [Category: HEALTHY LIVING, Date: 2015-10-20]",HEALTHY LIVING,2015-10-20,https://www.huffingtonpost.com/entry/activist-urges-for-more-awareness-after-suicide-convention_us_562643c0e4b02f6a900dc903
"Most New Yorkers Aren't Freaking Out About Ebola, So You Shouldn't Either.  [Category: HEALTHY LIVING, Date: 2014-10-24]",HEALTHY LIVING,2014-10-24,https://www.huffingtonpost.com/entry/ebola-new-york-city_n_6041536.html
"14 Rose Gold Beauty Products That'll Make You Look Like 24 Karats. Get your shine on. [Category: STYLE, Date: 2016-08-02]",STYLE,2016-08-02,https://www.huffingtonpost.com/entry/14-rose-gold-beauty-products-thatll-make-you-look-like-24-karats_us_579f918ce4b08a8e8b5ed8df
"Record $15 Million Gift Will Help Free Innocent People From Prison. The donation to the Ohio Innocence Project is believed to be the largest donation to any program of its kind. [Category: POLITICS, Date: 2016-09-13]",POLITICS,2016-09-13,https://www.huffingtonpost.com/entry/ohio-innocence-project_us_57d6cd59e4b03d2d459b7619
"An Apple a Day ... Takes Your Barbecue to the Next Level! Plus, the Three Best BBQ Sauce Recipes to Try Now. October is National Apple Month. Let's celebrate the contributions this storied fruit has made to American barbecue. [Category: FOOD & DRINK, Date: 2013-10-11]",FOOD & DRINK,2013-10-11,https://www.huffingtonpost.com/entry/bbq-sauce-recipes_us_5b9d977ee4b03a1dcc89e4de
"Top 5 Tastes: Stone Fruit, Seafood and Everything in Between. I consider myself extremely lucky to be able to eat at high class spots, hole in the wall joints, and everywhere in between on a regular basis (and to the immense detriment of my financial funds). [Category: FOOD & DRINK, Date: 2013-08-14]",FOOD & DRINK,2013-08-14,https://www.huffingtonpost.com/entry/top-5-tastes-stone-fruit_us_5b9d6ee5e4b03a1dcc87efd8
"James Clapper Calls Trump's Bin Laden Criticism A 'Slam At The Intelligence Community'. The president thinks retired Navy Adm. William McRaven should have brought Osama bin Laden to justice sooner. [Category: POLITICS, Date: 2018-11-20]",POLITICS,2018-11-20,https://www.huffpost.com/entry/james-clapper-trump-bin-laden_n_5bf3f065e4b01909c80938d5
"Donald Trump Says He Fired FBI Director Because He Wasn't 'Doing A Good Job'. He weighed in on James Comey's ouster while meeting with Henry Kissinger. [Category: POLITICS, Date: 2017-05-10]",POLITICS,2017-05-10,https://www.huffingtonpost.com/entry/trump-fbi-director-comey_us_5913321ee4b0a58297e16ec3
"Mark Hamill Rips His Role In 'Last Jedi': 'He's Not My Luke Skywalker'. The actor dishes on his creative differences with director Rian Johnson. [Category: ENTERTAINMENT, Date: 2017-12-22]",ENTERTAINMENT,2017-12-22,https://www.huffingtonpost.com/entry/mark-hamill-last-jedi-luke-skywalker_us_5a3cf644e4b025f99e16864d
"Meningitis Outbreak Is 'Nowhere Near The End,' Expert Says. SUSPECT LOTS The FDA said its investigation of that patient and the two who received the heart drug during surgery was ongoing [Category: WELLNESS, Date: 2012-10-16]",WELLNESS,2012-10-16,https://www.huffingtonpost.com/entry/meningitis-outbreak-nowhere-near-end-wiliam-schaffner_us_5b9c69e6e4b03a1dcc7e74af
"Is Your Outdated Career Map Leading You Astray?. If you have been tending to your career lovingly for many years, you will be able to visit your career map in light of this new discovery, decide what on the map still resonates with you and what doesn't (even massive changes will carry some elements of your ""old life"" into the new), and chart a new course. [Category: BUSINESS, Date: 2015-05-09]",BUSINESS,2015-05-09,https://www.huffingtonpost.com/entry/is-your-outdated-career-m_b_7245648.html
"Holiday Gift Bags vs. Wrapping Paper. Everyone has their holiday pet peeves. [Category: HOME & LIVING, Date: 2012-12-03]",HOME & LIVING,2012-12-03,https://www.huffingtonpost.com/entry/holiday-gift-bags-wrapping-paper_us_5b9c92c9e4b03a1dcc7ff2a9
"Pour Out A Lil' Liquor For The NFL's Diva Recievers. Six years ago, the Bengals opened up their season at Paul Brown Stadium against the Ravens. It was also Monday Night Football [Category: BLACK VOICES, Date: 2013-09-21]",BLACK VOICES,2013-09-21,https://www.huffingtonpost.comhttp://www.theshadowleague.com/articles/pour-out-a-lil-liquor-for-the-nfl-s-diva-receiver-era
"11-Year-Old Running Half Marathon to Save the Wolves. By the time August rolls around he'll start adding some progressively longer runs each weekend to build up his endurance. He's hoping to run like a wolf tracking its prey over long distances: calm, easy, and patient until the end. [Category: IMPACT, Date: 2015-04-23]",IMPACT,2015-04-23,https://www.huffingtonpost.com/entry/11-year-old-running-half-marathon-to-save-the-wolves_b_7110252.html
"The Tipsy Hostess' Guide To Moving, If You Absolutely Must (GIFs). Your martini shaker, for instance, is the last thing you should pack. [Category: HOME & LIVING, Date: 2013-06-01]",HOME & LIVING,2013-06-01,https://www.huffingtonpost.com/entry/the-tipsy-hostess-guide-to-moving_us_5b9d2c7de4b03a1dcc852a57
"Taxes Nightmare For Homesellers Few Understand. The foreclosure mess due to the economic downturn has left many homeowners facing devastating taxes, even after they sell a house in a foreclosure or short sale or one that is underwater, so they earn little, nothing, or sell the home at a loss. [Category: HOME & LIVING, Date: 2013-07-09]",HOME & LIVING,2013-07-09,https://www.huffingtonpost.com/entry/taxes-nightmare-for-homes_us_5b9d55aee4b03a1dcc86c55d
"Marco Rubio Forced To Say How High He'd Raise Social Security's Retirement Age. The current retirement age for full Social Security benefits is 67 for people born in 1960 and after. [Category: POLITICS, Date: 2016-03-11]",POLITICS,2016-03-11,https://www.huffingtonpost.com/entry/marco-rubio-social-security_us_56e230abe4b065e2e3d5781d
"Fearless Girl, Meet Righteous Brother. She’s “standing up to injustice,” in the eyes of New York City’s mayor. Meanwhile, a territorial artist claims that she’s [Category: POLITICS, Date: 2017-04-17]",POLITICS,2017-04-17,https://www.huffingtonpost.com/entry/fearless-girl-meet-righteous-brother_us_58f4a826e4b048372700d9c5
"How to Be Intimate Again After Loss. If the answer is yes: Thank you for taking the first step towards living again. But how could I love again and feel alive [Category: WELLNESS, Date: 2013-10-28]",WELLNESS,2013-10-28,https://www.huffingtonpost.com/entry/intimacy-after-loss_us_5b9d9e96e4b03a1dcc8a5502
"The Strange Link Between Eye Color And Alcohol Abuse. Agata Blaszczak-Boxe, Contributing Writer   |   July 08, 2015 07:44pm ET  People with light-colored eyes may have a higher [Category: HEALTHY LIVING, Date: 2015-07-14]",HEALTHY LIVING,2015-07-14,https://www.huffingtonpost.com/entry/people-with-this-eye-color-are-at-higher-risk-of-alcoholism_us_55a3daa6e4b0b8145f730811
"Trolltunga, Norway Is The Scariest Instagram Spot On Earth. Wanna climb (and Instagram) Trolltunga too? Get more info here. Crazy hikers make the four-hour trek to Trolltunga for the [Category: TRAVEL, Date: 2013-11-16]",TRAVEL,2013-11-16,https://www.huffingtonpost.com/entry/trolltunga_us_5b9da879e4b03a1dcc8af447
"Nonagenarians Ditch Dating Apps, Go On Blind Date At Bookstore. No Tinder was involved! [Category: GOOD NEWS, Date: 2016-04-20]",GOOD NEWS,2016-04-20,https://www.huffingtonpost.com/entry/nonagenarians-go-on-blind-date-at-bookstore-ditch-the-dating-apps_us_5717ccb4e4b0479c59d6c328
"Parkour Vaults From The Urban Jungle To Soft, Indoor Gyms. ""We're not just a gym, we're an educational facility,"" said Ryan Ford, co-owner and instructor at Apex Movement, a Boulder [Category: WELLNESS, Date: 2013-10-07]",WELLNESS,2013-10-07,https://www.huffingtonpost.com/entry/parkour-gym-soft-indoor_us_5b9d9393e4b03a1dcc89ba2d
"7 Ways to Practice Mindfulness in the Technology Age. Technology is here to stay.  Why not embrace it and use it to raise our levels of presence?  We can do this by tuning into our breath, our feelings and bodily sensations.  This lets us know how we are relating to technology in the moment. [Category: WELLNESS, Date: 2013-01-14]",WELLNESS,2013-01-14,https://www.huffingtonpost.com/entry/technology-meditation_us_5b9cb4aee4b03a1dcc810f95
"Judge Dismisses Kesha's Abuse Claims Against Dr. Luke. The pop star can continue to litigate her contract dispute with her producer and Sony Music Entertainment. [Category: ENTERTAINMENT, Date: 2016-04-07]",ENTERTAINMENT,2016-04-07,https://www.huffingtonpost.com/entry/kesha-dr-luke-lawsuit_us_5705a132e4b053766188b636
"New Jersey Mountain Home Is Pretty Much Its Own Resort (PHOTOS). Have something to say? Check out HuffPost Home on Twitter, Facebook, Pinterest, Tumblr and Instagram. ** This single-level [Category: HOME & LIVING, Date: 2013-07-26]",HOME & LIVING,2013-07-26,https://www.huffingtonpost.com/entry/new-jersey-mountain-home_us_5b9d6205e4b03a1dcc874fe9
